ROUTE,avg_dep_delay,cancel_rate,flight_count
ABQ-DEN,7.142156862745098,0.027777777777777776,612
ABQ-DFW,25.64179104477612,0.013059701492537313,536
ABQ-LAX,4.576628352490421,0.0,522
ABQ-PHX,9.512640449438202,0.0028089887640449437,712
AGS-ATL,21.115384615384617,0.0,520
AMA-DFW,7.9296028880866425,0.02527075812274368,554
ANC-SEA,8.776978417266188,0.030739045127534337,1529
ASE-DEN,27.135593220338983,0.10691003911342895,767
ATL-AGS,12.10576923076923,0.0019230769230769232,520
ATL-AUS,6.420600858369099,0.001072961373390558,932
ATL-AVL,4.353965183752417,0.0019342359767891683,517
ATL-BHM,5.0813124108416545,0.0014265335235378032,701
ATL-BNA,5.211981566820277,0.01152073732718894,868
ATL-BOS,8.438528557599225,0.001936108422071636,1033
ATL-BWI,9.425816023738873,0.00741839762611276,1348
ATL-CAE,3.8045977011494254,0.0,522
ATL-CHA,4.824902723735408,0.005836575875486381,514
ATL-CHS,3.9563812600969306,0.0,619
ATL-CLE,6.780907668231612,0.001564945226917058,639
ATL-CLT,5.465320456540825,0.000877963125548727,1139
ATL-CMH,4.7757847533632285,0.0014947683109118087,669
ATL-CVG,7.078864353312303,0.00473186119873817,634
ATL-DAL,7.737206085753804,0.004149377593360996,723
ATL-DCA,7.123085983510012,0.010011778563015312,1698
ATL-DEN,6.856341976173791,0.009810791871058164,1427
ATL-DFW,15.766129032258064,0.009408602150537635,1488
ATL-DTW,9.133784928027096,0.001693480101608806,1181
ATL-ECP,4.0199203187251,0.0,502
ATL-EWR,7.110948905109489,0.012408759124087591,1370
ATL-FLL,14.58056982718356,0.004670714619336758,2141
ATL-GSO,3.7322033898305085,0.001694915254237288,590
ATL-GSP,5.242424242424242,0.0025252525252525255,792
ATL-HOU,5.322493224932249,0.0013550135501355014,738
ATL-HSV,3.9948630136986303,0.011986301369863013,584
ATL-IAD,5.135220125786163,0.0031446540880503146,636
ATL-IAH,11.360078277886497,0.007827788649706457,1022
ATL-IND,5.123537061118335,0.0,769
ATL-JAN,7.656521739130435,0.0014492753623188406,690
ATL-JAX,8.060853769300635,0.0018165304268846503,1101
ATL-JFK,20.191724137931036,0.002758620689655172,725
ATL-LAS,15.511111111111111,0.0026666666666666666,1125
ATL-LAX,11.025862068965518,0.0,1160
ATL-LGA,10.262115685252736,0.009379885356956748,1919
ATL-LIT,4.372693726937269,0.0018450184501845018,542
ATL-MCI,5.833116036505867,0.007822685788787484,767
ATL-MCO,13.048759623609923,0.005560307955517536,2338
ATL-MDW,10.81549815498155,0.020910209102091022,813
ATL-MEM,5.6484375,0.009114583333333334,768
ATL-MIA,18.29466739967015,0.006047278724573941,1819
ATL-MKE,8.867272727272727,0.01090909090909091,550
ATL-MSP,6.509345794392523,0.0,856
ATL-MSY,9.107263513513514,0.0008445945945945946,1184
ATL-OKC,5.2215686274509805,0.00392156862745098,510
ATL-OMA,5.003913894324853,0.003913894324853229,511
ATL-ORD,11.992199687987519,0.0078003120124804995,1282
ATL-ORF,7.067594433399602,0.003976143141153081,503
ATL-PBI,8.849250936329588,0.0,1068
ATL-PHL,6.94375,0.00234375,1280
ATL-PHX,11.380622837370241,0.0011534025374855825,867
ATL-PIT,6.623164763458401,0.0,613
ATL-PNS,5.111731843575419,0.0,537
ATL-RDU,6.4913714804722975,0.0009082652134423251,1101
ATL-RIC,7.748051948051948,0.0,770
ATL-RSW,9.78407960199005,0.001990049751243781,1005
ATL-SAT,5.708333333333333,0.0,672
ATL-SAV,3.2098765432098766,0.0,648
ATL-SDF,3.1261398176291793,0.0,658
ATL-SEA,6.459654178674351,0.024495677233429394,694
ATL-SFO,15.691558441558442,0.006493506493506494,616
ATL-SJU,11.326050420168068,0.0016806722689075631,595
ATL-SLC,6.686429512516469,0.0,759
ATL-SRQ,9.333791208791208,0.0,728
ATL-STL,6.4318766066838045,0.0038560411311053984,778
ATL-TPA,12.92514619883041,0.004678362573099415,1710
ATL-TYS,6.998324958123953,0.011725293132328308,597
AUS-ATL,5.47905477980666,0.00322234156820623,931
AUS-BNA,12.01500938086304,0.024390243902439025,533
AUS-DAL,7.199074074074074,0.021604938271604937,648
AUS-DEN,8.661350844277674,0.021575984990619138,1066
AUS-DFW,23.31600324939074,0.012185215272136474,1231
AUS-IAH,5.356862745098039,0.01568627450980392,510
AUS-JFK,16.666107382550337,0.006711409395973154,596
AUS-LAS,17.712700369913687,0.006165228113440197,811
AUS-LAX,9.889830508474576,0.00847457627118644,944
AUS-MCO,12.792633015006821,0.01637107776261937,733
AUS-ORD,9.669603524229075,0.013215859030837005,681
AUS-PHX,18.239106145251398,0.0033519553072625698,895
AVL-ATL,6.032945736434108,0.001937984496124031,516
AVL-CLT,4.959001782531194,0.0071301247771836,561
BDL-MCO,35.666666666666664,0.013888888888888888,504
BHM-ATL,5.3509272467903,0.0028530670470756064,701
BHM-CLT,8.346666666666666,0.015238095238095238,525
BNA-ATL,4.596244131455399,0.014084507042253521,852
BNA-AUS,8.047801147227533,0.021032504780114723,523
BNA-CLT,12.818378378378378,0.023783783783783784,925
BNA-DAL,10.40747663551402,0.03177570093457944,535
BNA-DCA,4.297216699801193,0.03180914512922465,1006
BNA-DEN,11.776371308016877,0.029535864978902954,948
BNA-DFW,29.025270758122744,0.03489771359807461,831
BNA-FLL,9.146964856230031,0.023961661341853034,626
BNA-IAH,7.888045540796964,0.026565464895635674,527
BNA-LGA,8.874226804123712,0.03505154639175258,970
BNA-MCO,14.769526248399488,0.016645326504481434,781
BNA-MIA,14.581117021276595,0.027925531914893616,752
BNA-ORD,8.886260236578709,0.047315741583257506,1099
BNA-PHL,8.504302925989673,0.024096385542168676,581
BNA-PHX,12.538602941176471,0.01838235294117647,544
BNA-RDU,9.811676082862524,0.022598870056497175,531
BNA-TPA,8.636851520572451,0.03398926654740608,559
BOI-DEN,7.108452950558214,0.025518341307814992,627
BOI-SEA,4.127329192546584,0.003105590062111801,966
BOS-ATL,10.836557059961315,0.0029013539651837525,1034
BOS-BWI,7.222087378640777,0.021844660194174758,824
BOS-CLT,9.95971351835273,0.010743061772605193,1117
BOS-DCA,5.202591792656587,0.020734341252699785,2315
BOS-DEN,8.633241758241759,0.04532967032967033,728
BOS-DFW,13.732941176470588,0.0058823529411764705,850
BOS-DTW,9.832236842105264,0.008223684210526315,608
BOS-EWR,1.2043243243243242,0.023783783783783784,925
BOS-FLL,21.930365296803654,0.023972602739726026,876
BOS-JFK,8.731514716439339,0.012203876525484566,1393
BOS-LAX,9.602422907488986,0.0022026431718061676,908
BOS-LGA,8.443123061013443,0.025336091003102378,1934
BOS-MCO,21.535444947209655,0.013574660633484163,1326
BOS-MIA,10.697495183044316,0.012524084778420038,1038
BOS-ORD,8.011387900355873,0.025622775800711744,1405
BOS-PBI,20.689138576779026,0.00749063670411985,534
BOS-PHL,7.793201133144476,0.0113314447592068,1059
BOS-PHX,16.627056672760514,0.0018281535648994515,547
BOS-RDU,10.164285714285715,0.010714285714285714,560
BOS-RSW,19.708683473389357,0.00980392156862745,714
BOS-SFO,15.373015873015873,0.017006802721088437,882
BOS-TPA,19.276119402985074,0.014925373134328358,670
BUF-JFK,8.953101361573374,0.060514372163388806,661
BUR-LAS,11.902985074626866,0.025186567164179104,1072
BUR-OAK,4.656593406593407,0.023351648351648352,728
BUR-PHX,9.152722443559098,0.006640106241699867,753
BUR-SFO,20.45571245186136,0.028241335044929396,779
BUR-SJC,5.7853211009174315,0.01834862385321101,545
BUR-SMF,4.576190476190476,0.014285714285714285,630
BWI-ATL,9.852471482889733,0.01064638783269962,1315
BWI-BOS,9.939429928741093,0.023752969121140142,842
BWI-CLT,9.93161094224924,0.0060790273556231,658
BWI-DEN,12.843657817109145,0.022123893805309734,678
BWI-FLL,15.346418056918548,0.014720314033366046,1019
BWI-MCO,14.60643394934976,0.01574264202600958,1461
BWI-MIA,14.910863509749303,0.013927576601671309,718
BWI-ORD,9.649149922720246,0.03245749613601236,647
BWI-TPA,15.64241676942047,0.011097410604192354,811
BZN-DEN,10.798951048951048,0.02097902097902098,572
CAE-ATL,3.544230769230769,0.0,520
CHA-ATL,7.184824902723736,0.005836575875486381,514
CHS-ATL,3.8103727714748783,0.0,617
CHS-CLT,10.03211009174312,0.00764525993883792,654
CLE-ATL,8.08307210031348,0.0,638
CLE-LGA,9.112195121951219,0.02926829268292683,615
CLE-MCO,23.061611374407583,0.0315955766192733,633
CLE-ORD,7.271646859083192,0.035653650254668934,589
CLT-ATL,11.591228070175438,0.0,1140
CLT-AVL,5.040998217468806,0.008912655971479501,561
CLT-BHM,6.391634980988593,0.009505703422053232,526
CLT-BNA,10.574973031283712,0.021574973031283712,927
CLT-BOS,13.080645161290322,0.0062724014336917565,1116
CLT-BWI,11.543247344461305,0.006069802731411229,659
CLT-CHS,11.725880551301685,0.006125574272588055,653
CLT-DCA,16.985,0.00625,800
CLT-DEN,11.982708933717579,0.005763688760806916,694
CLT-DFW,12.226626016260163,0.006097560975609756,984
CLT-DTW,10.569682151589243,0.008557457212713936,818
CLT-EWR,14.890442890442891,0.023310023310023312,858
CLT-FLL,16.79232283464567,0.004921259842519685,1016
CLT-GSO,10.010752688172044,0.0030721966205837174,651
CLT-GSP,9.170572916666666,0.0078125,768
CLT-IAH,11.68013468013468,0.006734006734006734,594
CLT-ILM,13.294498381877023,0.006472491909385114,618
CLT-JAX,13.401294498381876,0.0016181229773462784,618
CLT-JFK,18.89021164021164,0.01455026455026455,756
CLT-LAS,16.368916797488225,0.004709576138147566,637
CLT-LAX,12.840974212034384,0.0028653295128939827,698
CLT-LGA,14.263808139534884,0.020348837209302327,1376
CLT-MCO,16.484046164290564,0.006109979633401222,1473
CLT-MIA,13.207943925233645,0.008177570093457943,856
CLT-MSP,8.151736745886655,0.003656307129798903,547
CLT-MYR,10.194915254237289,0.006779661016949152,590
CLT-ORD,12.727969348659004,0.006704980842911878,1044
CLT-ORF,15.25305410122164,0.0034904013961605585,573
CLT-PBI,10.590909090909092,0.0016233766233766235,616
CLT-PHL,18.451041666666665,0.007291666666666667,960
CLT-PHX,12.27562326869806,0.0,722
CLT-RDU,15.872316384180792,0.0022598870056497176,885
CLT-RIC,17.67219152854512,0.001841620626151013,543
CLT-RSW,12.460420032310179,0.0032310177705977385,619
CLT-SAV,17.236301369863014,0.008561643835616438,584
CLT-SRQ,18.493383742911153,0.001890359168241966,529
CLT-TPA,11.023162134944613,0.004028197381671702,993
CLT-TYS,10.749190938511326,0.021035598705501618,618
CMH-ATL,3.7574850299401197,0.0029940119760479044,668
CMH-LGA,2.1875901875901875,0.021645021645021644,693
CMH-MCO,13.789902280130294,0.009771986970684038,614
CMH-ORD,10.531055900621118,0.010869565217391304,644
COS-DEN,6.875912408759124,0.028284671532846715,1096
CRP-DFW,6.672077922077922,0.016233766233766232,616
CVG-ATL,4.033123028391167,0.0031545741324921135,634
CVG-DCA,3.346,0.016,500
CVG-EWR,2.1184466019417476,0.021359223300970873,515
CVG-JFK,2.6774193548387095,0.007590132827324478,527
CVG-LGA,2.7790055248618786,0.02394106813996317,543
CVG-MCO,11.973128598848369,0.015355086372360844,521
CVG-ORD,7.05922165820643,0.01015228426395939,591
DAL-ATL,10.625869262865091,0.004172461752433936,719
DAL-AUS,9.353395061728396,0.013888888888888888,648
DAL-BNA,8.082242990654205,0.024299065420560748,535
DAL-DEN,11.158476658476658,0.018427518427518427,814
DAL-HOU,8.81648675171737,0.02649656526005888,1019
DAL-LAS,15.954866008462623,0.011283497884344146,709
DAL-LAX,9.754646840148698,0.013011152416356878,538
DAL-MCO,12.515625,0.015625,704
DAL-MSY,10.72053872053872,0.011784511784511785,594
DAL-PHX,10.654569892473118,0.012096774193548387,744
DAL-SAT,7.833791208791209,0.01098901098901099,728
DAL-STL,10.55795677799607,0.011787819253438114,509
DCA-ATL,9.275983558426306,0.012331180270111567,1703
DCA-BNA,5.2207920792079205,0.033663366336633666,1010
DCA-BOS,8.002157031924073,0.01984469370146678,2318
DCA-CLT,17.689526184538654,0.004987531172069825,802
DCA-CVG,8.66468253968254,0.015873015873015872,504
DCA-DFW,19.358374384236452,0.01847290640394089,812
DCA-DTW,9.125748502994012,0.014970059880239521,668
DCA-FLL,17.096,0.013333333333333334,750
DCA-IAH,9.78108581436077,0.014010507880910683,571
DCA-JFK,2.868131868131868,0.02197802197802198,546
DCA-LGA,9.80163043478261,0.028985507246376812,1104
DCA-MCO,14.87905604719764,0.014011799410029498,1356
DCA-MDW,8.809338521400779,0.033073929961089495,514
DCA-MIA,15.53877139979859,0.023162134944612285,993
DCA-MSP,8.310679611650485,0.011650485436893204,515
DCA-ORD,10.00266844563042,0.019346230820547032,1499
DCA-PVD,7.65474060822898,0.03220035778175313,559
DCA-RDU,6.618556701030927,0.016200294550810016,679
DCA-STL,8.794066317626527,0.034904013961605584,573
DCA-TPA,14.704225352112676,0.01584507042253521,568
DEN-ABQ,11.67043618739903,0.01615508885298869,619
DEN-ASE,29.277266754270695,0.1011826544021025,761
DEN-ATL,9.284137931034483,0.009655172413793104,1450
DEN-AUS,11.384543761638733,0.0223463687150838,1074
DEN-BNA,12.54094827586207,0.02693965517241379,928
DEN-BOI,12.776190476190477,0.026984126984126985,630
DEN-BOS,17.346629986244842,0.03163686382393398,727
DEN-BWI,13.137878787878789,0.02727272727272727,660
DEN-BZN,16.275438596491227,0.021052631578947368,570
DEN-CLT,8.959712230215827,0.0057553956834532375,695
DEN-COS,12.685168334849864,0.025477707006369428,1099
DEN-DAL,12.917690417690418,0.02702702702702703,814
DEN-DFW,13.978571428571428,0.02,1400
DEN-DSM,12.403225806451612,0.03046594982078853,558
DEN-DTW,11.758321273516643,0.005788712011577424,691
DEN-EWR,17.823619631901842,0.08742331288343558,652
DEN-HOU,14.421130952380953,0.022321428571428572,672
DEN-IAD,18.81454005934718,0.06231454005934718,674
DEN-IAH,15.757188498402556,0.026357827476038338,1252
DEN-IND,13.052364864864865,0.018581081081081082,592
DEN-LAS,16.18636995827538,0.02086230876216968,2157
DEN-LAX,10.880546075085324,0.03128555176336746,1758
DEN-LGA,13.566878980891719,0.01091901728844404,1099
DEN-MCI,9.815915627996166,0.023969319271332695,1043
DEN-MCO,17.288175411119813,0.02975724353954581,1277
DEN-MDW,13.73452544704264,0.03851444291609354,727
DEN-MIA,20.917355371900825,0.01790633608815427,726
DEN-MKE,14.873040752351097,0.02821316614420063,638
DEN-MSP,9.805918788713008,0.01995870612525809,1453
DEN-MSY,9.428994082840237,0.03550295857988166,676
DEN-OKC,16.834179357021995,0.023688663282571912,591
DEN-OMA,16.05121638924456,0.030729833546734954,781
DEN-ONT,14.903649635036496,0.01167883211678832,685
DEN-ORD,15.339518900343643,0.032989690721649485,1455
DEN-PDX,10.751592356687897,0.028662420382165606,942
DEN-PHL,14.512367491166078,0.012367491166077738,566
DEN-PHX,11.432696217974787,0.021553477023180154,2459
DEN-RNO,14.599284436493738,0.008944543828264758,559
DEN-SAN,11.37772397094431,0.024213075060532687,1239
DEN-SAT,11.062583222370174,0.02663115845539281,751
DEN-SEA,11.63859649122807,0.021052631578947368,1425
DEN-SFO,29.254918032786886,0.03360655737704918,1220
DEN-SJC,14.48165137614679,0.01834862385321101,654
DEN-SLC,13.312438302073051,0.012339585389930898,2026
DEN-SMF,14.978185993111365,0.024110218140068886,871
DEN-SNA,9.606857142857143,0.014857142857142857,875
DEN-STL,12.327233584499462,0.02045209903121636,929
DEN-TPA,15.985138004246284,0.029723991507430998,942
DEN-TUS,14.968152866242038,0.01751592356687898,628
DFW-ABQ,20.77094972067039,0.00931098696461825,537
DFW-AMA,10.402173913043478,0.025362318840579712,552
DFW-ATL,21.504016064257026,0.008032128514056224,1494
DFW-AUS,22.256493506493506,0.008928571428571428,1232
DFW-BNA,18.96987951807229,0.03614457831325301,830
DFW-BOS,19.587616822429908,0.005841121495327103,856
DFW-CLT,19.34040404040404,0.005050505050505051,990
DFW-CRP,5.91042345276873,0.014657980456026058,614
DFW-DCA,16.80223880597015,0.017412935323383085,804
DFW-DEN,16.271560940841056,0.01781895937277263,1403
DFW-DTW,15.173177083333334,0.01171875,768
DFW-ELP,17.146417445482864,0.014018691588785047,642
DFW-EWR,13.188769414575866,0.02031063321385902,837
DFW-FLL,16.788535031847132,0.011464968152866241,785
DFW-HOU,7.017208413001912,0.028680688336520075,523
DFW-IAH,16.064124783362217,0.016464471403812825,1154
DFW-ICT,9.767213114754098,0.01639344262295082,610
DFW-LAS,22.870611183355006,0.01235370611183355,1538
DFW-LAX,15.629514321295144,0.0037359900373599006,1606
DFW-LBB,19.919224555735056,0.027463651050080775,619
DFW-LGA,15.909219858156028,0.014184397163120567,1410
DFW-LIT,7.183703703703704,0.02074074074074074,675
DFW-MAF,5.079147640791477,0.0213089802130898,657
DFW-MCI,14.975609756097562,0.006968641114982578,574
DFW-MCO,22.834848484848486,0.010606060606060607,1320
DFW-MEM,12.550094517958412,0.020793950850661626,529
DFW-MFE,17.486166007905137,0.009881422924901186,506
DFW-MIA,21.104231974921632,0.013322884012539185,1276
DFW-MSP,14.656023222060957,0.002902757619738752,689
DFW-MSY,18.93234100135318,0.005412719891745603,739
DFW-OKC,12.719020172910662,0.021613832853025938,694
DFW-ONT,18.45303867403315,0.007366482504604052,543
DFW-ORD,12.625179856115109,0.013669064748201438,1390
DFW-PDX,20.5562015503876,0.02131782945736434,516
DFW-PHL,14.605540897097626,0.014511873350923483,758
DFW-PHX,18.707727620504972,0.006885998469778117,1307
DFW-RDU,19.85880077369439,0.013539651837524178,517
DFW-SAN,15.34691629955947,0.009911894273127754,908
DFW-SAT,22.0,0.017159199237368923,1049
DFW-SDF,12.875494071146244,0.011857707509881422,506
DFW-SEA,13.91710388247639,0.02833158447009444,953
DFW-SFO,22.79363336992316,0.009879253567508232,911
